勘定科目ID,勘定科目名,決算書表示名,決算書表示名ID,勘定科目カテゴリー,勘定科目のカテゴリーID,ショートカット1,ショートカット2,勘定科目の使用設定（true: 使用する、false: 使用しない）,税区分コード,口座ID
819804460,貸倒引当金戻入益,貸倒引当金戻入額,700759822,特別利益,98,KASHIDAO,902,TRUE,2,
819804451,貸倒損失(外),貸倒損失(外),700759823,営業外費用,96,KASHIDAO,832,TRUE,8,
819804440,貸倒損失(販),貸倒損失(販),700759824,販売管理費,93,KASHIDAO,786,TRUE,8,
819804455,貸倒繰入額(外),貸倒繰入額(外),700759825,営業外費用,96,KASHIDAO,836,TRUE,2,
819804441,貸倒繰入額(販),貸倒繰入額(販),700759826,販売管理費,93,KASHIDAO,787,TRUE,2,
819804430,賃借料,賃借料,700759827,販売管理費,93,CHINSHAK,782,TRUE,34,
819804378,資本準備金,資本準備金,700759828,資本準備金,57,SHIHONJU,520,TRUE,2,
819804376,資本金,資本金,700759829,資本金,54,SHIHONKI,500,TRUE,2,
819804379,資本金及び準備金減少差益,その他資本剰余金,700759661,その他資本剰余金,58,GENSHISA,525,TRUE,2,
819804406,賞与,賞与,700759830,販売管理費,93,SHOUYO,742,TRUE,2,
819804481,賞与引当金,賞与引当金,700759831,他流動負債,50,SHOUYOH,433,TRUE,2,
819804486,賞与引当金繰入,賞与引当金繰入,700759832,販売管理費,93,SHOUYOH,788,TRUE,2,
819804428,車両費,車両費,700759833,販売管理費,93,SHARYOU,767,TRUE,34,
819804323,車両運搬具,車両運搬具,700759834,有形固定資産,42,SHARYOU,204,TRUE,34,
819804375,退職給付引当金,退職給付引当金,700759835,固定負債,51,TAISHOKU,490,TRUE,2,
819804410,退職給付繰入額,退職給付引当金繰入額,700759836,販売管理費,93,TAISHOKU,747,TRUE,2,
819804407,退職金,退職金,700759837,販売管理費,93,TAISHOKU,743,TRUE,2,
819804418,通信費,通信費,700759838,販売管理費,93,TSUUSHIN,756,TRUE,34,
819804372,長期借入金,長期借入金,700759839,固定負債,51,CHOUKIKA,470,TRUE,2,
819804343,長期前払費用,長期前払費用,700759840,投資その他の資産,44,CHOUKIMA,247,TRUE,2,
819804438,長期前払費用償却,長期前払費用償却,700759841,販売管理費,93,CHOUKIMA,784,TRUE,2,
819804341,長期固定性預金,長期固定性預金,700759842,投資その他の資産,44,CHOUKIKO,245,TRUE,2,
819804373,長期未払金,長期未払金,700759843,固定負債,51,CHOUKIMI,475,TRUE,2,
819804342,長期滞留債権,長期滞留債権,700759844,投資その他の資産,44,CHOUKITA,246,TRUE,2,
819804340,長期貸付金,長期貸付金,700759845,投資その他の資産,44,CHOUKIKA,244,TRUE,2,
819804348,開業費,開業費,700759846,繰延資産,45,KAIGYOU,261,TRUE,34,
819804349,開発費,開発費,700759847,繰延資産,45,KAIHATSU,262,TRUE,34,
819804337,関係会社出資金,関係会社出資金,700759848,投資その他の資産,44,KANKEIGA,250,TRUE,2,
819804335,関係会社株式,関係会社株式,700759849,投資その他の資産,44,KANKEIGA,249,TRUE,2,
819804320,附属設備,附属設備,700759850,有形固定資産,42,FUZOKUSE,201,TRUE,34,
819804447,雑収入,雑収入,700759851,営業外収益,95,ZATSUSHU,816,TRUE,21,
819804456,雑損失,雑損失,700759852,営業外費用,96,ZATSUSON,846,TRUE,34,
819804405,雑給,雑給,700759853,販売管理費,93,ZAKKYUU,744,TRUE,2,
819804442,雑費,雑費,700759854,販売管理費,93,ZAPPI,789,TRUE,34,
819804329,電話加入権,電話加入権,700759855,無形固定資産,43,DENWA,220,TRUE,34,
819804316,預け金,預け金,700759856,他流動資産,40,AZUKEKIN,177,TRUE,2,
819804368,預り保証金,預り保証金,700759857,他流動負債,50,AZUKARIH,429,TRUE,2,
819804365,預り金,預り金,700759858,他流動負債,50,AZUKARIK,427,TRUE,2,
819804345,預託金,預託金,700759859,投資その他の資産,44,YOTAKU,251,TRUE,2,
